trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
177,False,"{'a': 0.5, 'e': 0.46899999999999953}",25,0,-111.23494021820717,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
178,False,"{'a': 0.5, 'e': 0.4659999999999995}",25,6,-67.24653817332813,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.4629999999999995}",25,0,-63.0654244369979,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,0,-11.760037373405684,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.4569999999999995}",20,16,7.3571533178334345,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.4539999999999995}",20,0,-46.31879639333728,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
183,False,"{'a': 0.5, 'e': 0.4509999999999995}",25,0,-67.65039765292829,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
184,False,"{'a': 0.5, 'e': 0.4479999999999995}",25,12,-33.63119316111448,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
185,False,"{'a': 0.5, 'e': 0.4449999999999995}",25,10,9.014829327996878,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.4419999999999995}",30,4,-43.85504302089535,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 1}",1
187,False,"{'a': 0.5, 'e': 0.4389999999999995}",20,0,-36.09560518461281,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
188,False,"{'a': 0.5, 'e': 0.4359999999999995}",20,0,-1.4567991940567324,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
189,False,"{'a': 0.5, 'e': 0.4329999999999995}",25,10,-48.85872368994677,"{0: 10, 1: 0, 2: 3, 3: 2, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.4299999999999995}",35,13,23.554693571518634,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.4269999999999995}",25,4,-21.806736451361562,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.4239999999999995}",20,0,-15.281826793826612,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
193,False,"{'a': 0.5, 'e': 0.4209999999999995}",25,13,22.207185844418685,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.4179999999999995}",25,9,-51.90778488097723,"{0: 11, 1: 0, 2: 3, 3: 2, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.4149999999999995}",25,0,-40.59635858737363,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
196,False,"{'a': 0.5, 'e': 0.4119999999999995}",20,6,-43.878386838614674,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
197,False,"{'a': 0.5, 'e': 0.4089999999999995}",25,0,23.08099224783742,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
198,False,"{'a': 0.5, 'e': 0.4059999999999995}",20,2,-0.14190046022455016,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.40299999999999947}",25,17,6.968213390561941,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.39999999999999947}",25,3,-58.510768938470335,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}",1
201,False,"{'a': 0.5, 'e': 0.39699999999999946}",25,11,-36.87824420288827,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
202,False,"{'a': 0.5, 'e': 0.39399999999999946}",20,0,-28.700561447993636,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
203,False,"{'a': 0.5, 'e': 0.39099999999999946}",30,0,-86.17886431298139,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
204,False,"{'a': 0.5, 'e': 0.38799999999999946}",20,13,-20.12928999462256,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.38499999999999945}",25,1,-55.035481219858326,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 1}",1
206,False,"{'a': 0.5, 'e': 0.38199999999999945}",35,13,-11.315795495340733,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.37899999999999945}",25,7,-17.002714426286232,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
208,False,"{'a': 0.5, 'e': 0.37599999999999945}",30,0,19.375009662158575,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
209,False,"{'a': 0.5, 'e': 0.37299999999999944}",25,14,-37.998604625358354,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
210,False,"{'a': 0.5, 'e': 0.36999999999999944}",20,4,-83.60271324331818,"{0: 10, 1: 2, 2: 1, 3: 2, 4: 1}",1
211,False,"{'a': 0.5, 'e': 0.36699999999999944}",25,20,8.764393436592723,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.36399999999999944}",20,0,-13.6721957072569,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
213,False,"{'a': 0.5, 'e': 0.36099999999999943}",25,15,8.900617139637339,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.35799999999999943}",25,9,-15.972599955260982,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
215,False,"{'a': 0.5, 'e': 0.3549999999999994}",25,0,-10.443408544478721,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
216,False,"{'a': 0.5, 'e': 0.3519999999999994}",35,18,4.6712045844969925,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.3489999999999994}",20,11,-1.4789882136735732,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.3459999999999994}",20,8,-21.169642035391913,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
219,False,"{'a': 0.5, 'e': 0.3429999999999994}",20,12,4.062922891002893,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,4,-69.38962864573647,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 2}",1
221,False,"{'a': 0.5, 'e': 0.3369999999999994}",30,15,-26.065771191141426,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
222,False,"{'a': 0.5, 'e': 0.3339999999999994}",25,18,-11.163520693751794,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.3309999999999994}",20,0,-60.85553932418743,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
224,False,"{'a': 0.5, 'e': 0.3279999999999994}",20,0,6.334057866985781,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
225,False,"{'a': 0.5, 'e': 0.3249999999999994}",30,5,-5.475261586196286,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.3219999999999994}",25,18,14.012695385511048,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.3189999999999994}",20,0,5.538867570985696,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
228,False,"{'a': 0.5, 'e': 0.3159999999999994}",20,4,-73.22801605358318,"{0: 11, 1: 1, 2: 1, 3: 2, 4: 1}",1
229,False,"{'a': 0.5, 'e': 0.3129999999999994}",30,13,-23.59574619555108,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
230,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,0,-5.639805874137883,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
231,False,"{'a': 0.5, 'e': 0.3069999999999994}",25,6,28.603118320304713,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.3039999999999994}",20,0,7.109683790127026,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
233,False,"{'a': 0.5, 'e': 0.3009999999999994}",20,0,29.9877210786413,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
234,False,"{'a': 0.5, 'e': 0.2979999999999994}",20,9,10.060084976331005,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.2949999999999994}",35,15,17.54916843640706,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.29199999999999937}",20,10,18.422971968081892,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.28899999999999937}",20,5,-45.16264191820782,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
238,False,"{'a': 0.5, 'e': 0.28599999999999937}",20,10,9.774784252609408,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.28299999999999936}",20,9,15.518940258636082,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.27999999999999936}",30,18,1.9966470881413994,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.27699999999999936}",20,8,15.036806489445258,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.27399999999999936}",30,15,17.899559379499937,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.27099999999999935}",20,16,7.677418964891261,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.5, 'e': 0.26799999999999935}",20,0,-15.378950456767644,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
245,False,"{'a': 0.5, 'e': 0.26499999999999935}",25,11,-62.954148343370775,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 1}",1
246,False,"{'a': 0.5, 'e': 0.26199999999999934}",20,3,-2.8314158124442903,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.25899999999999934}",20,6,-32.63558398290648,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
248,False,"{'a': 0.5, 'e': 0.25599999999999934}",25,2,24.597665006941074,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.25299999999999934}",20,2,-11.411725820840408,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.24999999999999933}",20,0,8.451840826064682,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
251,False,"{'a': 0.5, 'e': 0.24699999999999933}",30,15,-10.928261804150413,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.24399999999999933}",20,6,27.976840322341324,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.24099999999999933}",20,8,-2.569195303144867,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.23799999999999932}",20,0,-0.6362154008082523,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
255,False,"{'a': 0.5, 'e': 0.23499999999999932}",20,9,-36.0302792302606,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
256,False,"{'a': 0.5, 'e': 0.23199999999999932}",25,8,-2.9959335251837373,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.22899999999999932}",25,15,-39.159718637629254,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
258,False,"{'a': 0.5, 'e': 0.2259999999999993}",20,10,8.263629302769013,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.2229999999999993}",35,13,-20.42762938965592,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
260,False,"{'a': 0.5, 'e': 0.2199999999999993}",35,25,-20.130170156540938,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
261,False,"{'a': 0.5, 'e': 0.2169999999999993}",20,6,-43.2307237082406,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
262,False,"{'a': 0.5, 'e': 0.2139999999999993}",20,14,1.828671990795044,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.2109999999999993}",25,9,13.457609276042945,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.2079999999999993}",25,3,19.083247937800955,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.5, 'e': 0.2049999999999993}",20,6,13.548999050833064,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
266,False,"{'a': 0.5, 'e': 0.2019999999999993}",20,13,15.575981508968946,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.1989999999999993}",25,13,-43.23897133668524,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
268,False,"{'a': 0.5, 'e': 0.19599999999999929}",20,7,23.353652029888238,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.19299999999999928}",20,9,-24.778379488359352,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.18999999999999928}",20,16,7.898270728764967,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.18699999999999928}",30,21,14.246587496321471,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.18399999999999928}",25,16,-29.820368571827025,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
273,False,"{'a': 0.5, 'e': 0.18099999999999927}",20,7,12.402098167285036,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.17799999999999927}",25,8,-1.1544322184056397,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.17499999999999927}",25,20,11.05565218987299,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.17199999999999926}",25,10,3.696056331004068,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
277,False,"{'a': 0.5, 'e': 0.16899999999999926}",20,13,12.655668945384432,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.16599999999999926}",25,0,13.437936102608381,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
279,False,"{'a': 0.5, 'e': 0.16299999999999926}",25,15,16.800401661864043,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.5, 'e': 0.15999999999999925}",25,20,9.014686731280753,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.15699999999999925}",25,16,-8.091714368017124,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.15399999999999925}",20,7,25.765974129374236,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.15099999999999925}",20,10,18.073383392211156,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.5, 'e': 0.14799999999999924}",20,14,10.871142135397758,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.14499999999999924}",20,10,17.60554701533985,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.5, 'e': 0.14199999999999924}",20,8,-0.8319586157240906,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
287,False,"{'a': 0.5, 'e': 0.13899999999999924}",25,17,14.456874291512559,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.5, 'e': 0.13599999999999923}",30,13,11.134764428494446,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
289,False,"{'a': 0.5, 'e': 0.13299999999999923}",20,11,15.624347442319076,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.5, 'e': 0.12999999999999923}",25,13,9.781848385528683,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
291,False,"{'a': 0.5, 'e': 0.12699999999999922}",20,5,15.787984075040978,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.12399999999999922}",25,18,13.74841952359492,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.5, 'e': 0.12099999999999922}",30,18,-7.432801381741915,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.11799999999999922}",25,16,17.833074819593584,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.11499999999999921}",25,1,20.36384003864656,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
296,False,"{'a': 0.5, 'e': 0.11199999999999921}",20,14,6.854591153819482,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.5, 'e': 0.10899999999999921}",25,14,11.681022632323474,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.1059999999999992}",25,13,24.488427523993746,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.1029999999999992}",20,8,23.70918677651823,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.0999999999999992}",20,6,30.820760656585037,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.0969999999999992}",20,6,29.684921150149457,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.0939999999999992}",20,10,14.393141690983159,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.5, 'e': 0.09099999999999919}",25,0,-4.983635628977758,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
304,False,"{'a': 0.5, 'e': 0.08799999999999919}",35,17,30.337452908094264,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.08499999999999919}",25,14,20.0665541932979,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.08199999999999918}",20,0,-21.597146134089545,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
307,False,"{'a': 0.5, 'e': 0.07899999999999918}",25,17,15.722975700333029,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.5, 'e': 0.07599999999999918}",20,2,26.347916816100252,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.5, 'e': 0.07299999999999918}",25,13,25.82077263883701,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.5, 'e': 0.06999999999999917}",25,11,16.576208600001507,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.5, 'e': 0.06699999999999917}",25,3,-2.5549102889620317,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
312,False,"{'a': 0.5, 'e': 0.06399999999999917}",20,8,14.90186971597647,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.5, 'e': 0.060999999999999166}",25,10,26.028879105778863,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.5, 'e': 0.05799999999999916}",25,14,19.605038600332573,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.5, 'e': 0.05499999999999916}",20,12,19.52670517369845,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.5, 'e': 0.05199999999999916}",20,7,20.876562988435293,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.5, 'e': 0.048999999999999155}",25,17,13.096628921269934,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 0.048999999999999155}",20,9,20.96011914644226,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 0.048999999999999155}",30,12,35.40329951916033,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 0.048999999999999155}",20,6,21.151851450405395,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 0.048999999999999155}",25,16,19.216912300367994,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 0.048999999999999155}",20,12,16.58877806173393,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 0.048999999999999155}",20,14,11.636243503603296,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 0.048999999999999155}",20,13,15.017542107757633,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 0.048999999999999155}",35,28,12.832081496829987,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 0.048999999999999155}",20,6,24.045562737313062,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 0.048999999999999155}",25,15,19.672905494289818,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
