trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.5, 'e': 0.8679999999999999}",35,0,-147.14588803443144,"{0: 22, 1: 5, 2: 5, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.8649999999999999}",20,3,-73.07551354739672,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.8619999999999999}",20,0,-70.98462496636404,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.8589999999999999}",20,16,3.930917157209534,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.8559999999999999}",20,0,-138.4690686688389,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.8529999999999999}",25,0,-97.13777324750419,"{0: 14, 1: 5, 2: 3, 3: 3, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,3,-84.7413978093894,"{0: 19, 1: 3, 2: 2, 3: 2, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.8469999999999999}",25,0,-75.5544290998295,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.8439999999999999}",20,0,-61.17033775442205,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.8409999999999999}",25,0,-69.47518987227775,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.8379999999999999}",20,0,-176.65682783534012,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.8349999999999999}",30,0,-146.74872595363024,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.8319999999999999}",20,0,-81.39529552536804,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.8289999999999998}",20,0,-102.11051505163712,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.8259999999999998}",20,0,-65.53005745581316,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.8229999999999998}",25,16,-26.595790544645286,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,5,-19.333339009058424,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.8169999999999998}",25,0,-93.30649630120774,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.8139999999999998}",20,0,-81.48637812099207,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.8109999999999998}",25,0,-123.40551108018845,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.8079999999999998}",20,0,-173.9189641501241,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
